Tiempo ,Entrada,ANGULO,POSICION
-0.4,0.0,0.0,0.0
-0.38,0.0,0.0,0.0
-0.36,0.0,0.0,0.0
-0.34,0.0,0.0,0.0
-0.32,0.0,0.0,0.0
-0.3,0.0,0.0,0.0
-0.28,0.0,0.0,0.0
-0.26,0.0,0.0,0.0
-0.24,0.0,0.0,0.0
-0.22,0.0,0.0,0.0
-0.2,0.0,0.0,0.0
-0.18,0.0,0.0,0.0
-0.16,0.0,0.0,0.0
-0.14,0.0,0.0,0.0
-0.12,0.0,0.0,0.0
-0.1,0.0,0.0,0.0
-0.08,0.0,0.0,0.0
-0.06,0.0,0.0,0.0
-0.04,0.0,0.0,0.0
-0.02,0.0,0.0,0.0
0.0,0.0,-0.0,-0.0
0.02,0.0,-0.0,-0.0
0.04,0.3,-0.0,-0.0
0.06,0.6,-0.0,-0.0
0.08,0.9,-0.0,-0.0
0.1,1.2,-0.0,-0.0
0.12,1.5,-0.0,-0.0
0.14,1.8,-0.0,0.0
0.16,2.1,-0.0,0.0
0.18,2.4,-0.002,0.0
0.2,2.7,-0.007,0.0
0.22,3.0,-0.012,0.001
0.24,3.3,-0.021,0.001
0.26,3.6,-0.033,0.002
0.28,3.9,-0.045,0.003
0.3,4.2,-0.059,0.004
0.32,4.5,-0.077,0.005
0.34,4.8,-0.093,0.007
0.36,5.1,-0.112,0.008
0.38,5.4,-0.133,0.01
0.4,5.7,-0.159,0.012
0.42,6.0,-0.178,0.014
0.44,6.3,-0.202,0.016
0.46,6.6,-0.227,0.019
0.48,6.9,-0.248,0.022
0.5,7.2,-0.264,0.024
0.52,7.5,-0.281,0.027
0.54,7.5,-0.3,0.03
0.56,7.5,-0.316,0.033
0.58,7.5,-0.323,0.036
0.6,7.5,-0.33,0.04
0.62,7.5,-0.335,0.043
0.64,7.5,-0.332,0.046
0.66,7.5,-0.326,0.05
0.68,7.5,-0.314,0.053
0.7,7.5,-0.302,0.056
0.72,7.5,-0.284,0.06
0.74,7.5,-0.262,0.063
0.76,7.5,-0.236,0.067
0.78,7.5,-0.208,0.07
0.8,7.5,-0.176,0.073
0.82,7.5,-0.14,0.077
0.84,7.5,-0.105,0.081
0.86,7.5,-0.068,0.084
0.88,7.5,-0.033,0.088
0.9,7.5,0.002,0.091
0.92,7.5,0.037,0.095
0.94,7.5,0.072,0.099
0.96,7.5,0.105,0.103
0.98,7.5,0.14,0.106
1.0,7.5,0.169,0.11
1.02,7.5,0.199,0.114
1.04,7.5,0.22,0.117
1.06,7.5,0.243,0.121
1.08,7.5,0.265,0.125
1.1,7.5,0.279,0.128
1.12,7.5,0.291,0.132
1.14,7.5,0.3,0.136
1.16,7.5,0.302,0.139
1.18,7.5,0.305,0.143
1.2,7.5,0.297,0.147
1.22,7.5,0.291,0.15
