Tiempo ,Entrada,ANGULO,POSICION
-0.4,0.0,0.0,0.0
-0.38,0.0,0.0,0.0
-0.36,0.0,0.0,0.0
-0.34,0.0,0.0,0.0
-0.32,0.0,0.0,0.0
-0.3,0.0,0.0,0.0
-0.28,0.0,0.0,0.0
-0.26,0.0,0.0,0.0
-0.24,0.0,0.0,0.0
-0.22,0.0,0.0,0.0
-0.2,0.0,0.0,0.0
-0.18,0.0,0.0,0.0
-0.16,0.0,0.0,0.0
-0.14,0.0,0.0,0.0
-0.12,0.0,0.0,0.0
-0.1,0.0,0.0,0.0
-0.08,0.0,0.0,0.0
-0.06,0.0,0.0,0.0
-0.04,0.0,0.0,0.0
-0.02,0.0,0.0,0.0
0.0,0.0,-0.009,-0.0
0.02,0.0,-0.012,-0.0
0.04,0.3,-0.016,-0.0
0.06,0.6,-0.019,-0.0
0.08,0.9,-0.023,-0.0
0.1,1.2,-0.028,-0.0
0.12,1.5,-0.03,0.0
0.14,1.8,-0.033,0.0
0.16,2.1,-0.035,0.0
0.18,2.4,-0.038,0.0
0.2,2.7,-0.042,0.0
0.22,3.0,-0.049,0.001
0.24,3.3,-0.059,0.002
0.26,3.6,-0.07,0.002
0.28,3.9,-0.079,0.003
0.3,4.2,-0.093,0.004
0.32,4.5,-0.108,0.005
0.34,4.8,-0.12,0.007
0.36,5.1,-0.136,0.008
0.38,5.4,-0.155,0.01
0.4,5.7,-0.176,0.012
0.42,6.0,-0.194,0.014
0.44,6.3,-0.211,0.017
0.46,6.6,-0.232,0.019
0.48,6.9,-0.251,0.022
0.5,7.2,-0.262,0.024
0.52,7.5,-0.274,0.027
0.54,7.5,-0.29,0.03
0.56,7.5,-0.3,0.034
0.58,7.5,-0.305,0.037
0.6,7.5,-0.311,0.04
0.62,7.5,-0.312,0.044
0.64,7.5,-0.307,0.047
0.66,7.5,-0.3,0.05
0.68,7.5,-0.288,0.054
0.7,7.5,-0.272,0.057
0.72,7.5,-0.255,0.061
0.74,7.5,-0.23,0.064
0.76,7.5,-0.201,0.067
0.78,7.5,-0.175,0.071
0.8,7.5,-0.141,0.074
0.82,7.5,-0.108,0.078
0.84,7.5,-0.077,0.082
0.86,7.5,-0.042,0.085
0.88,7.5,-0.012,0.089
0.9,7.5,0.023,0.093
0.92,7.5,0.054,0.097
0.94,7.5,0.087,0.1
0.96,7.5,0.12,0.104
0.98,7.5,0.147,0.108
1.0,7.5,0.175,0.111
1.02,7.5,0.199,0.115
1.04,7.5,0.22,0.119
1.06,7.5,0.241,0.123
1.08,7.5,0.255,0.126
1.1,7.5,0.269,0.13
1.12,7.5,0.276,0.134
1.14,7.5,0.279,0.137
1.16,7.5,0.283,0.141
1.18,7.5,0.284,0.144
1.2,7.5,0.276,0.148
1.22,7.5,0.265,0.152
