Tiempo ,Entrada,ANGULO,POSICION
3.42,0.0,0.264,0.266
3.44,0.0,0.201,0.266
3.46,0.0,0.134,0.266
3.48,0.0,0.068,0.266
3.5,0.0,-0.002,0.266
3.52,0.0,-0.068,0.266
3.54,0.0,-0.136,0.266
3.56,0.0,-0.202,0.266
3.58,0.0,-0.264,0.266
3.6,0.0,-0.323,0.266
3.62,0.0,-0.377,0.266
3.64,0.0,-0.426,0.266
3.66,0.0,-0.468,0.266
3.68,0.0,-0.504,0.266
3.7,0.0,-0.534,0.266
3.72,0.0,-0.553,0.266
3.74,0.0,-0.569,0.266
3.76,0.0,-0.572,0.266
3.78,0.0,-0.572,0.266
3.8,0.0,-0.562,0.266
3.82,0.0,-0.543,0.266
3.84,0.0,-0.517,0.266
3.86,0.0,-0.483,0.266
3.88,0.0,-0.443,0.266
3.9,0.0,-0.398,0.266
3.92,0.0,-0.346,0.266
3.94,0.0,-0.288,0.266
3.96,0.0,-0.227,0.266
3.98,0.0,-0.162,0.266
4.0,0.0,-0.096,0.266
4.02,0.0,-0.028,0.266
4.04,0.0,0.04,0.266
4.06,0.0,0.108,0.266
4.08,0.0,0.175,0.266
4.1,0.0,0.237,0.266
4.12,0.0,0.298,0.266
4.14,0.0,0.354,0.266
4.16,0.0,0.405,0.266
4.18,0.0,0.45,0.266
4.2,0.0,0.49,0.266
4.22,0.0,0.522,0.266
4.24,0.0,0.546,0.266
4.26,0.0,0.564,0.266
4.28,0.0,0.572,0.266
4.3,0.0,0.574,0.266
4.32,0.0,0.569,0.266
4.34,0.0,0.553,0.266
4.36,0.0,0.531,0.266
4.38,0.0,0.501,0.266
4.4,0.0,0.463,0.266
4.42,0.0,0.419,0.266
4.44,0.0,0.37,0.266
4.46,0.0,0.316,0.266
4.48,0.0,0.257,0.266
4.5,0.0,0.194,0.266
4.52,0.0,0.127,0.266
4.54,0.0,0.061,0.266
4.56,0.0,-0.007,0.266
4.58,0.0,-0.075,0.266
4.6,0.0,-0.141,0.266
4.62,0.0,-0.206,0.266
4.64,0.0,-0.267,0.266
4.66,0.0,-0.325,0.266
4.68,0.0,-0.379,0.266
4.7,0.0,-0.428,0.266
4.72,0.0,-0.468,0.266
4.74,0.0,-0.504,0.266
4.76,0.0,-0.532,0.266
4.78,0.0,-0.552,0.266
4.8,0.0,-0.565,0.266
4.82,0.0,-0.571,0.266
4.84,0.0,-0.569,0.266
4.86,0.0,-0.557,0.266
4.88,0.0,-0.538,0.266
4.9,0.0,-0.511,0.266
4.92,0.0,-0.476,0.266
4.94,0.0,-0.436,0.266
4.96,0.0,-0.389,0.266
4.98,0.0,-0.337,0.266
5.0,0.0,-0.281,0.266
5.02,0.0,-0.218,0.266
5.04,0.0,-0.155,0.266
5.06,0.0,-0.089,0.266
5.08,0.0,-0.021,0.266
5.1,0.0,0.045,0.266
5.12,0.0,0.113,0.266
5.14,0.0,0.18,0.266
5.16,0.0,0.241,0.266
5.18,0.0,0.3,0.266
5.2,0.0,0.356,0.266
5.22,0.0,0.407,0.266
5.24,0.0,0.452,0.266
5.26,0.0,0.49,0.266
5.28,0.0,0.52,0.266
5.3,0.0,0.545,0.266
5.32,0.0,0.562,0.266
5.34,0.0,0.569,0.266
5.36,0.0,0.571,0.266
5.38,0.0,0.564,0.266
5.4,0.0,0.548,0.266
5.42,0.0,0.524,0.266
5.44,0.0,0.494,0.266
5.46,0.0,0.457,0.266
5.48,0.0,0.412,0.266
5.5,0.0,0.363,0.266
5.52,0.0,0.307,0.266
5.54,0.0,0.25,0.266
5.56,0.0,0.187,0.266
5.58,0.0,0.122,0.266
5.6,0.0,0.054,0.266
5.62,0.0,-0.012,0.266
5.64,0.0,-0.08,0.266
5.66,0.0,-0.147,0.266
5.68,0.0,-0.209,0.266
5.7,0.0,-0.271,0.266
5.72,0.0,-0.328,0.266
5.74,0.0,-0.38,0.266
5.76,0.0,-0.428,0.266
5.78,0.0,-0.468,0.266
5.8,0.0,-0.503,0.266
5.82,0.0,-0.531,0.266
5.84,0.0,-0.55,0.266
5.86,0.0,-0.562,0.266
5.88,0.0,-0.565,0.266
5.9,0.0,-0.564,0.266
5.92,0.0,-0.552,0.266
5.94,0.0,-0.532,0.266
5.96,0.0,-0.504,0.266
